date,"baseline: flat + count, NO breaker",+ vol sizing,+ correlation cap,+ fixed 10% breaker (today's rule),+ adaptive breaker (tighten+loosen),+ adaptive breaker (loosen-only) V2,TODAY'S BOT (flat+count+fixed),bh_btc
2024-07-08 06:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1918.7353186552364
2024-07-08 07:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1926.2548572812054
2024-07-08 08:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1993.16230001383
2024-07-08 09:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1983.5103343216601
2024-07-08 10:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1959.500785131848
2024-07-08 11:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1971.158949796052
2024-07-08 12:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1971.0589330001278
2024-07-08 13:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1973.987010922179
2024-07-08 14:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1937.74747690388
2024-07-08 15:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1923.133988362873
2024-07-08 16:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1924.8749703829574
2024-07-08 17:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1941.270137433424
2024-07-08 18:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1941.0266482681745
2024-07-08 19:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1947.82054779544
2024-07-08 20:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1940.3223920706685
2024-07-08 21:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1953.516676766064
2024-07-08 22:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1954.965540764949
2024-07-08 23:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1956.0050256715524
2024-07-09 00:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1949.6739624895629
2024-07-09 01:00:00+00:00,1220.0275451879377,1202.3310790233372,1232.3616123466359,1088.1323515710599,1047.3419805711692,1100.9930265797966,1133.3906929153752,1950.6858565559112
